accession,abundance WT,abundance FRDA,p-value
P01876,465025.43843296,5488983.218890564,9.517865705958783e-05
P28289,31715.17612694183,92244.71228074207,1.2903633142958082e-05
P01871,1596694.6557588035,55010.018986881936,0.0008081944822632344
Q9H0E2,63364.49647981624,135400.07235651134,2.080940276194406e-05
P01857,803064.5931334067,110463.50465230034,0.00019551825644550732
P04066,75412.29942556766,372125.60093092435,5.548691527458835e-05
P43405,133353.69588679398,44915.09517253414,6.206404160408073e-05
Q9Y2V2,776171.8348428727,465648.133338546,6.56969053883132e-05
Q6YP21,183596.80569703435,76317.62466336756,0.000136422600539403
Q14894,95766.41574578489,6416.33080625379,0.00265400779287976
Q9Y6K5,235511.37919395164,48097.01121365447,0.00013930028463633078
Q92769,142411.70255996697,79862.21737493854,2.5453033657451373e-05
P20591,4380725.94534054,1477354.9084486365,4.775393997416033e-05
P05161,1771374.1918386035,439207.23375438637,0.00023432606031897722
Q96DG6,43374.51610242014,181646.23098043096,3.8315538874331837e-05
P50453,837423.879192221,213756.59843173533,0.0013641222119960647
P17655,97870.06887577067,548537.3817939501,0.0011516649434288536
Q5T6V5,90012.11060012334,29529.26559876937,0.0001562297361490866
P48163,73561.9546876806,2382.57722925644,0.0037071712240517567
P48595,150128.41470869034,13193.854655461866,0.002558812390654968
B9A064,1080950.9499084689,27663.813902052003,0.004478510044940659
O00499,129556.71109845866,11378.7044876203,2.970998430761721e-05
Q9NRD1,455898.994132145,46903.177946193806,0.002402248897827209
Q99816,83900.34590158564,49958.25476986453,0.0005897874598959257
P09914,218483.09549328868,19076.401068233037,0.0008031145858884128
Q96NY7,319447.568588983,54011.02520686074,0.0006373424177193111
Q96D96,97634.67871211669,233026.26533147402,6.175811228827128e-05
P30740,323355.83760408935,40060.18235581063,0.0007451517195114881
P29728,645046.274625458,170868.91359980401,0.0007727890705840902
P50454,240228.62501665333,34445.383224580095,0.006399017756792917
P56279,1151326.2724813933,379213.52895653364,0.0007371510200733778
Q12824,128294.25160613366,77661.1676950492,0.0003403150416744995
Q96HD9,7891.788760608538,37551.384576776465,0.0018285410280370945
Q15075,34286.06131057353,51731.59319345537,0.0004923034343185262
P08670,204374.5354720113,49191.49188026419,0.0007035640200442124
Q8TCJ2,4612.527070597337,19869.519628721766,0.0001592748688828481
P09488,145773.20868623603,17022.8157423189,0.0033271196779838274
O75369,344683.00959340663,179035.62463848534,0.00046273278878388536
P46013,275769.3037630147,142875.04831085232,0.00024060482291530914
Q13077,355654.8494012293,752960.911667863,0.00027030728375078915
Q96CX2,118116.244646377,254380.971413421,0.00015998074525918314
Q9UJV9,55626.510866130266,41084.4086715655,0.0003958595023319009
P61601,63863.88886112543,276547.5047083993,0.00019701725179985935
Q16719,380289.258230776,180046.23665357335,0.0004761277967456998
P32456,141566.36484886633,75116.6640591791,0.0007940259945775797
P50851,257598.23093112398,211119.58038308867,0.0009104365619544345
O75915,99781.94447226152,176458.67614830265,0.0006973090200843931
P32455,133449.7241251607,23847.15288519477,0.002951186301741932
Q9H098,228035.03543260065,587861.649107796,0.0004666769845092004
P09936,544179.5138767982,2188634.12425233,0.0003301110394592615
Q9NUQ9,600650.3787304116,331728.2856635323,0.0008796937445620013
P42224,3941763.2292560004,1430478.4466315033,0.0009638880221337941
Q8TBC4,230315.7067116443,277628.110389082,0.0008133474327615933
P24723,15851.427972717365,36297.520127214804,0.00024241005820041753
Q02818,54170.7399779138,74833.78382700156,0.0009781969725143173
Q969U7,460486.09145980206,327836.19664261135,0.0010985655023844122
P80723,402614.5690647294,22117.396251091468,0.01804184162058072
Q99417,580822.8146169527,409367.356983834,0.001465418611980244
Q12912,13030.859592677736,41142.55593455016,0.00023091344844445365
P21399,53260.4494803685,11096.448430870585,0.008869643345595297
P05771,224073.84483216333,578007.3311637443,0.00043885773683801526
P07437,31548538.649223533,23326271.675545033,0.001147020483334144
P09326,352602.3236177824,551983.2569257923,0.0014986101951052387
